gallen.owl,9.089,8.956,8.811,8.98,8.932,8.968,9.046,8.754,8.887,8.617,8.904,8.944
ochv.owl,0.787,0.772,0.766,0.779,0.77,0.776,0.774,0.776,0.78,0.781,0.7761,0.776
snmi.owl,0.52,0.509,0.497,0.495,0.5,0.495,0.494,0.549,0.512,0.486,0.5057,0.4985
reto.owl,0.709,0.711,0.695,0.698,0.692,0.695,0.691,0.697,0.705,0.702,0.6995,0.6975
rexo.owl,0.738,0.749,0.747,0.75,0.746,0.734,0.752,0.752,0.74,0.743,0.7451,0.7465
gexo.owl,0.774,0.791,0.765,0.775,0.773,0.791,0.774,0.772,0.788,0.778,0.7781,0.7745
iobc.owl,1.833,1.859,1.832,1.839,1.861,1.83,1.832,1.848,1.89,1.879,1.8503,1.8435
rhmesh.owl,2.857,2.881,2.857,2.882,2.905,2.896,2.877,2.875,2.893,2.851,2.8774,2.879
hoom.xml,178.081,226.333,234.603,150.708,79.08,190.066,176.439,234.114,179.211,195.047,184.3682,184.6385
fma.owl,7.355,7.371,7.355,7.434,7.382,7.343,7.353,7.39,7.379,7.378,7.374,7.3745
nifstd.xml,org.semanticweb.owlapi.reasoner.InconsistentOntologyException: org.semanticweb.owlapi.owllink.builtin.response.OWLlinkUnsatisfiableKBErrorResponseException: Ontology 'http://Konclude.com/Ontologies/UnnamedOntologies/0/1b7694e7-2a4d-46c4-8097-f1e07d8d0c03/' is inconsistent.,,,,,,,,,,,
upheno.xml,org.semanticweb.owlapi.owllink.OWLlinkReasonerIOException: Connection refused (Connection refused),,,,,,,,,,,
ncit.owl,org.semanticweb.owlapi.owllink.builtin.response.OWLlinkErrorResponseException: An error has occurred while processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/39f5bb77-3d70-4e7b-b855-3fe6d74566ce/'-Knowledge-Base-OWL2-XML-Axioms Command' Error process protocol: {notice}  [::Konclude::Command::Command]:Finish processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/39f5bb77-3d70-4e7b-b855-3fe6d74566ce/'-Knowledge-Base-OWL2-XML-Axioms Command' with all sub commands. Command closed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Finish processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/39f5bb77-3d70-4e7b-b855-3fe6d74566ce/'-Knowledge-Base-OWL2-XML-Axioms Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Stop processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/39f5bb77-3d70-4e7b-b855-3fe6d74566ce/'-Knowledge-Base-OWL2-XML-Axioms Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Start processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/39f5bb77-3d70-4e7b-b855-3fe6d74566ce/'-Knowledge-Base-OWL2-XML-Axioms Command'. {error}  An error has occurred while processing 'Parse-OWL2-XML-Ontology Command' Sub-Error process protocol: {notice}  [::Konclude::Command::Command]:Finish processing 'Parse-OWL2-XML-Ontology Command' with all sub commands. Command closed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Finish processing 'Parse-OWL2-XML-Ontology Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Stop processing 'Parse-OWL2-XML-Ontology Command'. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Start processing 'Parse-OWL2-XML-Ontology Command'. ,,,,,,,,,,,
dron.xml,36.024,35.814,35.812,35.704,35.883,35.708,35.54,35.853,36.334,36.114,35.8786,35.8335
loinc.owl,java.lang.OutOfMemoryError,,,,,,,,,,,
chebi.xml,2.138,2.038,2.134,2.117,2.103,2.139,2.124,2.031,2.059,2.139,2.1022,2.1205
MESH.owl,java.lang.OutOfMemoryError: Requested array size exceeds VM limit,,,,,,,,,,,
ncbitaxon.owl,java.lang.OutOfMemoryError: Java heap space,,,,,,,,,,,
gaz.xml,9.887,9.861,9.822,9.891,9.834,11.012,9.796,9.778,9.82,9.82,9.9521,9.828
pr.xml,81.126,16.311,14.301,20.46,121.828,12.261,18.237,12.63,16.051,13.365,32.657,16.181
cco.xml,java.lang.OutOfMemoryError: Java heap space,,,,,,,,,,,
