gallen.owl,9.292,9.449,9.491,9.435,9.195,9.147,9.381,9.47,9.588,9.259,9.3707,9.408
ochv.owl,1.513,1.517,1.519,1.514,1.505,1.514,1.522,1.514,1.514,1.53,1.5162,1.514
snmi.owl,1.095,1.107,1.122,1.106,1.099,1.214,1.084,1.105,1.096,1.09,1.1118,1.102
reto.owl,1.513,1.517,1.519,1.514,1.505,1.514,1.522,1.514,1.514,1.53,1.5162,1.514
rexo.owl,1.63,1.62,1.631,1.605,1.613,1.634,1.624,1.618,1.602,1.645,1.6222,1.622
gexo.owl,1.698,1.688,1.701,1.696,1.683,1.686,1.698,1.703,1.699,1.685,1.6937,1.697
iobc.owl,2.477,2.551,2.564,2.499,2.556,2.528,2.557,2.513,2.538,2.551,2.5334,2.5445
rhmesh.owl,4.723,4.732,4.727,4.766,4.767,4.704,4.683,4.697,4.713,4.721,4.7233,4.722
hoom.xml,232.148,132.424,235.339,132.867,241.627,130.819,135.584,139.674,75.868,185.937,164.2287,137.629
fma.owl,7.634,7.648,7.638,7.68,7.686,7.705,7.695,7.658,7.718,7.705,7.6767,7.683
nifstd.xml,org.semanticweb.owlapi.reasoner.InconsistentOntologyException: org.semanticweb.owlapi.owllink.builtin.response.OWLlinkUnsatisfiableKBErrorResponseException: Ontology 'http://Konclude.com/Ontologies/UnnamedOntologies/0/14f938d9-6633-44b2-8d3f-f751246887ae/' is inconsistent.,,,,,,,,,,,
upheno.xml,org.semanticweb.owlapi.owllink.OWLlinkReasonerIOException: Connection refused (Connection refused),,,,,,,,,,,
ncit.owl,org.semanticweb.owlapi.owllink.builtin.response.OWLlinkErrorResponseException: An error has occurred while processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/27be8cec-2117-46dd-b358-196be15c67f7/'-Knowledge-Base-OWL2-XML-Axioms Command' Error process protocol: {notice}  [::Konclude::Command::Command]:Finish processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/27be8cec-2117-46dd-b358-196be15c67f7/'-Knowledge-Base-OWL2-XML-Axioms Command' with all sub commands. Command closed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Finish processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/27be8cec-2117-46dd-b358-196be15c67f7/'-Knowledge-Base-OWL2-XML-Axioms Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Stop processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/27be8cec-2117-46dd-b358-196be15c67f7/'-Knowledge-Base-OWL2-XML-Axioms Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Start processing 'Tell-'http://Konclude.com/Ontologies/UnnamedOntologies/0/27be8cec-2117-46dd-b358-196be15c67f7/'-Knowledge-Base-OWL2-XML-Axioms Command'. {error}  An error has occurred while processing 'Parse-OWL2-XML-Ontology Command' Sub-Error process protocol: {notice}  [::Konclude::Command::Command]:Finish processing 'Parse-OWL2-XML-Ontology Command' with all sub commands. Command closed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Finish processing 'Parse-OWL2-XML-Ontology Command'. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Stop processing 'Parse-OWL2-XML-Ontology Command'. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {error}  [::Konclude::Parser::OWL2QtXMLOntologyParser]:Node 'DatatypeDefinition' is not supported and could not be processed. {notice}  [::Konclude::Control::Interface::OWLlink::OWLlinkProcessor]:Start processing 'Parse-OWL2-XML-Ontology Command'. ,,,,,,,,,,,
dron.xml,38.922,38.724,38.557,39.382,38.635,39.022,39.872,39.878,39.225,39.121,39.1338,39.0715
loinc.owl,java.lang.OutOfMemoryError,,,,,,,,,,,
chebi.xml,2.972,2.918,3.007,2.993,2.925,2.929,2.959,2.973,3.012,2.942,2.963,2.9655
