ore_ont_9805.owl,0.06,0.032,0.024,0.019,0.013,0.012,0.011,0.011,0.01,0.011,0.0203,0.0125
ore_ont_2936.owl,0.071,0.045,0.029,0.027,0.015,0.014,0.014,0.014,0.013,0.017,0.0259,0.016
ore_ont_11949.owl,0.072,0.035,0.038,0.018,0.017,0.015,0.015,0.014,0.013,0.019,0.025599999999999998,0.0175
ore_ont_8662.owl,0.099,0.049,0.041,0.027,0.023,0.023,0.022,0.02,0.019,0.02,0.0343,0.023
ore_ont_15971.owl,0.076,0.046,0.029,0.029,0.024,0.024,0.024,0.024,0.016,0.015,0.030699999999999998,0.024
ore_ont_8937.owl,0.066,0.033,0.03,0.022,0.015,0.012,0.013,0.013,0.012,0.012,0.0228,0.013999999999999999
ore_ont_580.owl,0.067,0.03,0.024,0.022,0.02,0.017,0.011,0.012,0.011,0.01,0.0224,0.018500000000000003
ore_ont_9509.owl,0.045,0.023,0.02,0.016,0.009,0.009,0.011,0.011,0.011,0.01,0.016499999999999997,0.011
ore_ont_7839.owl,0.086,0.056,0.047,0.028,0.02,0.02,0.019,0.017,0.024,0.023,0.034,0.0235
ore_ont_10309.owl,0.067,0.032,0.027,0.02,0.014,0.012,0.012,0.012,0.011,0.012,0.021900000000000003,0.013000000000000001
ore_ont_13503.owl,0.051,0.027,0.023,0.027,0.019,0.017,0.015,0.015,0.013,0.013,0.022,0.018000000000000002
ore_ont_480.owl,0.05,0.023,0.02,0.019,0.011,0.014,0.009,0.008,0.009,0.008,0.0171,0.0125
ore_ont_14746.owl,0.093,0.059,0.037,0.032,0.023,0.024,0.024,0.027,0.023,0.018,0.036,0.025500000000000002
ore_ont_15331.owl,0.109,0.045,0.037,0.03,0.023,0.033,0.021,0.022,0.018,0.019,0.0357,0.0265
ore_ont_1420.owl,0.075,0.032,0.027,0.03,0.017,0.016,0.016,0.012,0.01,0.011,0.0246,0.0165
ore_ont_1526.owl,0.069,0.033,0.026,0.026,0.021,0.012,0.016,0.016,0.011,0.012,0.024200000000000003,0.018500000000000003
ore_ont_4856.owl,0.069,0.038,0.028,0.024,0.023,0.018,0.017,0.02,0.013,0.013,0.0263,0.0215
ore_ont_2485.owl,0.097,0.05,0.042,0.035,0.033,0.031,0.02,0.026,0.027,0.027,0.0388,0.032
ore_ont_5107.owl,0.292,0.143,0.129,0.132,0.108,0.122,0.113,0.107,0.108,0.118,0.1372,0.12
ore_ont_7639.owl,0.085,0.054,0.05,0.034,0.032,0.021,0.03,0.021,0.017,0.017,0.0361,0.031
