ore_ont_9805.owl,0.078,0.012,0.017,0.016,0.012,0.011,0.01,0.022,0.01,0.009,0.0197,0.012
ore_ont_2936.owl,0.186,0.024,0.018,0.01,0.008,0.009,0.008,0.016,0.007,0.007,0.0293,0.0095
ore_ont_11949.owl,0.164,0.018,0.018,0.014,0.008,0.008,0.009,0.021,0.009,0.009,0.027800000000000002,0.0115
ore_ont_8662.owl,0.078,0.014,0.01,0.014,0.011,0.01,0.009,0.023,0.009,0.007,0.0185,0.010499999999999999
ore_ont_15971.owl,0.103,0.024,0.02,0.011,0.009,0.008,0.007,0.015,0.006,0.006,0.020900000000000002,0.009999999999999998
ore_ont_8937.owl,0.082,0.014,0.02,0.014,0.013,0.012,0.008,0.016,0.007,0.006,0.019200000000000002,0.0135
ore_ont_580.owl,0.078,0.014,0.01,0.009,0.008,0.007,0.007,0.015,0.006,0.005,0.0159,0.0085
ore_ont_9509.owl,0.086,0.013,0.017,0.011,0.009,0.007,0.007,0.015,0.007,0.006,0.0178,0.009999999999999998
ore_ont_7839.owl,0.101,0.015,0.016,0.012,0.009,0.009,0.008,0.017,0.008,0.007,0.0202,0.010499999999999999
ore_ont_10309.owl,0.082,0.012,0.012,0.009,0.008,0.007,0.006,0.015,0.006,0.006,0.016300000000000002,0.0085
ore_ont_13503.owl,0.077,0.013,0.016,0.01,0.007,0.006,0.01,0.023,0.006,0.006,0.0174,0.01
ore_ont_480.owl,0.083,0.014,0.015,0.013,0.011,0.01,0.01,0.024,0.009,0.009,0.0198,0.012
ore_ont_14746.owl,0.106,0.021,0.019,0.017,0.014,0.008,0.008,0.024,0.007,0.007,0.0231,0.0155
ore_ont_15331.owl,0.104,0.019,0.014,0.016,0.008,0.008,0.008,0.016,0.007,0.006,0.0206,0.011
ore_ont_1420.owl,0.081,0.013,0.015,0.013,0.012,0.008,0.006,0.014,0.007,0.006,0.0175,0.0125
ore_ont_1526.owl,0.079,0.012,0.012,0.011,0.008,0.007,0.007,0.014,0.01,0.008,0.0168,0.010499999999999999
ore_ont_4856.owl,0.081,0.014,0.014,0.017,0.014,0.012,0.009,0.015,0.006,0.009,0.0191,0.014
ore_ont_2485.owl,0.185,0.018,0.014,0.009,0.009,0.008,0.009,0.024,0.006,0.006,0.0288,0.009
ore_ont_5107.owl,0.1,0.027,0.016,0.014,0.012,0.011,0.011,0.018,0.01,0.009,0.0228,0.013000000000000001
ore_ont_7639.owl,0.206,0.023,0.013,0.018,0.016,0.015,0.014,0.016,0.008,0.008,0.0337,0.0155
ore_ont_13429.owl,0.083,0.015,0.013,0.015,0.012,0.011,0.011,0.014,0.005,0.005,0.0184,0.0125
ore_ont_9854.owl,0.08,0.014,0.012,0.016,0.012,0.008,0.007,0.015,0.006,0.006,0.017599999999999998,0.012
ore_ont_15167.owl,0.213,0.029,0.027,0.016,0.014,0.023,0.016,0.02,0.013,0.012,0.0383,0.018000000000000002
ore_ont_13306.owl,0.232,0.018,0.022,0.01,0.015,0.014,0.008,0.015,0.007,0.007,0.0348,0.014499999999999999
ore_ont_5292.owl,0.167,0.014,0.016,0.015,0.01,0.012,0.007,0.015,0.006,0.007,0.026900000000000004,0.013000000000000001
ore_ont_5255.owl,0.091,0.015,0.014,0.012,0.009,0.014,0.012,0.026,0.011,0.01,0.0214,0.013000000000000001
ore_ont_8667.owl,0.084,0.014,0.011,0.01,0.008,0.007,0.011,0.024,0.009,0.008,0.0186,0.010499999999999999
ore_ont_8974.owl,0.09,0.016,0.014,0.01,0.014,0.011,0.011,0.021,0.01,0.009,0.0206,0.0125
