ore_ont_9805.owl,0.112,0.018,0.022,0.015,0.013,0.012,0.012,0.011,0.009,0.008,0.0232,0.0125
ore_ont_2936.owl,0.113,0.027,0.018,0.02,0.014,0.015,0.012,0.012,0.008,0.009,0.0248,0.0145
ore_ont_11949.owl,0.113,0.022,0.02,0.032,0.026,0.034,0.013,0.011,0.01,0.01,0.0291,0.021
ore_ont_8662.owl,0.114,0.018,0.019,0.019,0.017,0.013,0.012,0.011,0.007,0.007,0.0237,0.015
ore_ont_15971.owl,0.112,0.013,0.021,0.013,0.011,0.008,0.009,0.008,0.008,0.009,0.0212,0.01
ore_ont_8937.owl,0.123,0.026,0.024,0.02,0.018,0.011,0.011,0.016,0.021,0.011,0.0281,0.019
ore_ont_580.owl,0.137,0.027,0.025,0.045,0.026,0.015,0.011,0.05,0.012,0.012,0.036,0.0255
ore_ont_9509.owl,0.109,0.011,0.012,0.011,0.007,0.006,0.007,0.006,0.007,0.007,0.0183,0.007
ore_ont_7839.owl,0.117,0.021,0.026,0.015,0.012,0.023,0.026,0.019,0.014,0.016,0.0289,0.02
ore_ont_10309.owl,0.126,0.025,0.026,0.018,0.015,0.017,0.012,0.012,0.014,0.012,0.0277,0.016
ore_ont_13503.owl,0.126,0.02,0.017,0.019,0.034,0.012,0.027,0.025,0.012,0.011,0.0303,0.0195
ore_ont_480.owl,0.106,0.017,0.012,0.011,0.01,0.011,0.01,0.008,0.008,0.008,0.0201,0.0105
ore_ont_14746.owl,0.117,0.036,0.02,0.033,0.017,0.015,0.024,0.026,0.011,0.018,0.0317,0.022
ore_ont_15331.owl,0.12,0.026,0.018,0.016,0.015,0.021,0.028,0.026,0.013,0.009,0.0292,0.0195
ore_ont_1420.owl,0.126,0.027,0.023,0.019,0.039,0.019,0.014,0.011,0.011,0.009,0.0298,0.019
ore_ont_1526.owl,0.121,0.025,0.02,0.018,0.014,0.013,0.018,0.011,0.01,0.009,0.0259,0.016
ore_ont_4856.owl,0.133,0.025,0.023,0.018,0.017,0.016,0.015,0.017,0.017,0.022,0.0303,0.0175
ore_ont_2485.owl,0.155,0.046,0.065,0.063,0.037,0.018,0.016,0.014,0.018,0.053,0.0485,0.0415
