ore_ont_6461.owl,0.021,0.02,0.02,0.02,0.02,0.021,0.02,0.02,0.02,0.02,0.0202,0.02
ore_ont_8335.owl,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
ore_ont_2775.owl,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
ore_ont_16827.owl,0.033,0.033,0.033,0.034,0.034,0.035,0.034,0.034,0.034,0.034,0.0338,0.034
ore_ont_14588.owl,0.035,0.027,0.029,0.028,0.028,0.028,0.027,0.027,0.028,0.028,0.0285,0.028
ore_ont_1524.owl,0.026,0.026,0.025,0.025,0.026,0.026,0.025,0.025,0.025,0.026,0.0255,0.0255
ore_ont_9462.owl,0.023,0.023,0.023,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.0231,0.023
ore_ont_15421.owl,0.033,0.033,0.032,0.033,0.032,0.032,0.033,0.033,0.033,0.032,0.0326,0.033
ore_ont_7417.owl,0.026,0.026,0.026,0.026,0.026,0.025,0.026,0.025,0.025,0.026,0.0257,0.026
ore_ont_3936.owl,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.029,0.028,0.028,0.0281,0.028
ore_ont_16723.owl,0.027,0.026,0.026,0.027,0.026,0.026,0.026,0.026,0.027,0.026,0.0263,0.026
ore_ont_13132.owl,0.035,0.036,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.0351,0.035
ore_ont_13885.owl,0.033,0.032,0.033,0.032,0.032,0.032,0.033,0.032,0.032,0.032,0.0323,0.032
ore_ont_16274.owl,0.028,0.027,0.027,0.028,0.027,0.027,0.027,0.028,0.028,0.028,0.0275,0.0275
ore_ont_3205.owl,0.023,0.023,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0231,0.023
ore_ont_16267.owl,0.037,0.036,0.036,0.036,0.036,0.037,0.036,0.036,0.036,0.036,0.0362,0.036
ore_ont_16814.owl,0.034,0.033,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.032,0.0328,0.033
ore_ont_16197.owl,0.03,0.029,0.029,0.03,0.03,0.029,0.029,0.03,0.03,0.03,0.0296,0.03
ore_ont_12150.owl,0.027,0.026,0.027,0.027,0.027,0.027,0.026,0.026,0.027,0.027,0.0267,0.027
ore_ont_10894.owl,0.029,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.0287,0.029
ore_ont_9928.owl,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.025,0.026,0.0259,0.026
ore_ont_7789.owl,0.037,0.037,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.036,0.0363,0.036
ore_ont_1988.owl,0.025,0.024,0.024,0.024,0.025,0.025,0.025,0.024,0.024,0.024,0.0244,0.024
ore_ont_3281.owl,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.035,0.0347,0.035
ore_ont_11004.owl,0.032,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031,0.031,0.0312,0.031
ore_ont_7800.owl,0.04,0.04,0.039,0.04,0.045,0.038,0.038,0.039,0.039,0.039,0.0397,0.039
ore_ont_10199.owl,0.04,0.038,0.038,0.039,0.039,0.039,0.052,0.039,0.039,0.039,0.0402,0.039
ore_ont_3053.owl,0.041,0.041,0.039,0.038,0.04,0.039,0.04,0.041,0.04,0.039,0.0398,0.04
ore_ont_11203.owl,0.053,0.052,0.053,0.052,0.052,0.052,0.052,0.054,0.052,0.052,0.0524,0.052
ore_ont_14379.owl,0.038,0.038,0.038,0.038,0.037,0.038,0.038,0.039,0.038,0.038,0.038,0.038
ore_ont_11533.owl,0.033,0.032,0.031,0.031,0.032,0.032,0.031,0.032,0.032,0.032,0.0318,0.032
ore_ont_11592.owl,0.031,0.03,0.031,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.0303,0.03
