ore_ont_9805.owl,0.063,0.016,0.012,0.011,0.013,0.012,0.013,0.007,0.012,0.011,0.017,0.012
ore_ont_2936.owl,0.06,0.014,0.016,0.01,0.014,0.009,0.008,0.007,0.007,0.006,0.0151,0.0095
ore_ont_11949.owl,0.068,0.019,0.028,0.019,0.02,0.011,0.01,0.01,0.008,0.009,0.0202,0.015
ore_ont_8662.owl,0.078,0.033,0.017,0.023,0.019,0.018,0.018,0.016,0.015,0.014,0.0251,0.018
ore_ont_15971.owl,0.055,0.011,0.009,0.014,0.01,0.008,0.007,0.007,0.006,0.006,0.0133,0.0085
ore_ont_8937.owl,0.077,0.019,0.027,0.023,0.025,0.023,0.02,0.013,0.012,0.012,0.0251,0.0215
ore_ont_580.owl,0.068,0.019,0.017,0.014,0.012,0.011,0.011,0.01,0.01,0.009,0.0181,0.0115
ore_ont_9509.owl,0.051,0.009,0.008,0.006,0.009,0.006,0.006,0.008,0.007,0.007,0.0117,0.0075
ore_ont_7839.owl,0.068,0.014,0.017,0.014,0.012,0.013,0.008,0.007,0.007,0.007,0.0167,0.0125
ore_ont_10309.owl,0.067,0.02,0.023,0.021,0.014,0.013,0.012,0.01,0.013,0.01,0.0203,0.0135
ore_ont_13503.owl,0.076,0.017,0.021,0.013,0.012,0.011,0.016,0.009,0.007,0.007,0.0189,0.0125
ore_ont_480.owl,0.06,0.017,0.021,0.017,0.016,0.013,0.013,0.012,0.01,0.011,0.019,0.0145
ore_ont_14746.owl,0.06,0.012,0.014,0.009,0.008,0.011,0.012,0.01,0.009,0.009,0.0154,0.0105
ore_ont_15331.owl,0.06,0.013,0.011,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.0139,0.0085
ore_ont_1420.owl,0.061,0.016,0.014,0.009,0.008,0.009,0.009,0.008,0.007,0.007,0.0148,0.009
ore_ont_1526.owl,0.067,0.022,0.02,0.013,0.011,0.01,0.01,0.009,0.009,0.009,0.018,0.0105
ore_ont_4856.owl,0.101,0.036,0.03,0.031,0.029,0.03,0.05,0.018,0.017,0.016,0.0358,0.03
ore_ont_2485.owl,0.055,0.009,0.008,0.007,0.007,0.009,0.009,0.005,0.005,0.005,0.0119,0.0075
ore_ont_5107.owl,0.245,0.113,0.101,0.081,0.069,0.061,0.069,0.061,0.087,0.067,0.0954,0.075
ore_ont_7639.owl,0.072,0.018,0.018,0.01,0.015,0.012,0.011,0.012,0.012,0.011,0.0191,0.012
ore_ont_13429.owl,0.038,0.004,0.003,0.004,0.003,0.002,0.004,0.003,0.002,0.002,0.0065,0.003
ore_ont_9854.owl,0.048,0.012,0.007,0.005,0.004,0.005,0.004,0.004,0.003,0.004,0.0096,0.0045
ore_ont_15167.owl,0.127,0.053,0.045,0.032,0.043,0.036,0.019,0.018,0.018,0.019,0.041,0.034
ore_ont_13306.owl,0.088,0.028,0.026,0.019,0.026,0.023,0.022,0.02,0.011,0.011,0.0274,0.0225
ore_ont_5292.owl,0.075,0.03,0.019,0.016,0.014,0.012,0.017,0.009,0.008,0.007,0.0207,0.015
ore_ont_5255.owl,0.082,0.025,0.022,0.018,0.014,0.011,0.009,0.008,0.008,0.008,0.0205,0.0125
ore_ont_8667.owl,0.037,0.006,0.006,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.0069,0.0035
ore_ont_8974.owl,0.072,0.021,0.034,0.012,0.011,0.016,0.01,0.009,0.01,0.01,0.0205,0.0115
ore_ont_3330.owl,0.098,0.027,0.021,0.017,0.02,0.017,0.016,0.014,0.013,0.019,0.0262,0.018
ore_ont_15399.owl,0.066,0.017,0.024,0.015,0.013,0.008,0.008,0.008,0.008,0.008,0.0175,0.0105
ore_ont_1967.owl,0.065,0.018,0.016,0.013,0.011,0.014,0.012,0.012,0.012,0.009,0.0182,0.0125
ore_ont_5852.owl,0.044,0.004,0.005,0.003,0.004,0.003,0.003,0.002,0.003,0.002,0.0073,0.003
ore_ont_10174.owl,0.041,0.006,0.004,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.0067,0.0025
ore_ont_13392.owl,0.039,0.005,0.008,0.006,0.006,0.004,0.004,0.004,0.004,0.003,0.0083,0.0045
ore_ont_3671.owl,0.074,0.023,0.019,0.011,0.011,0.012,0.015,0.015,0.009,0.009,0.0198,0.0135
ore_ont_3909.owl,0.039,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.0063,0.003
