ore_ont_6461.owl,0.054,0.012,0.009,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.0117,0.006
ore_ont_8335.owl,0.084,0.045,0.032,0.024,0.02,0.01,0.016,0.013,0.008,0.008,0.026,0.018
ore_ont_2775.owl,0.084,0.029,0.041,0.032,0.02,0.018,0.018,0.015,0.013,0.013,0.0283,0.019
ore_ont_16827.owl,0.16,0.07,0.053,0.051,0.041,0.038,0.038,0.035,0.029,0.02,0.0535,0.0395
ore_ont_14588.owl,0.104,0.022,0.03,0.025,0.024,0.013,0.019,0.018,0.017,0.016,0.0288,0.0205
ore_ont_1524.owl,0.102,0.035,0.026,0.029,0.018,0.02,0.021,0.015,0.013,0.013,0.0292,0.0205
ore_ont_9462.owl,0.065,0.028,0.022,0.016,0.019,0.014,0.012,0.011,0.011,0.006,0.0204,0.015
ore_ont_15421.owl,0.153,0.058,0.053,0.047,0.037,0.038,0.032,0.03,0.017,0.016,0.0481,0.0375
ore_ont_7417.owl,0.092,0.035,0.044,0.031,0.021,0.021,0.02,0.018,0.018,0.016,0.0316,0.021
ore_ont_3936.owl,0.086,0.039,0.02,0.016,0.014,0.011,0.017,0.015,0.014,0.014,0.0246,0.0155
ore_ont_16723.owl,0.091,0.033,0.027,0.016,0.015,0.014,0.021,0.02,0.016,0.017,0.027,0.0185
ore_ont_13132.owl,0.309,1.078,0.14,0.118,0.667,0.656,0.111,0.111,0.629,0.647,0.4466,0.469
ore_ont_13885.owl,0.091,0.053,0.034,0.038,0.032,0.03,0.026,0.022,0.019,0.019,0.0364,0.031
ore_ont_16274.owl,0.088,0.027,0.043,0.033,0.016,0.021,0.013,0.01,0.015,0.01,0.0276,0.0185
ore_ont_3205.owl,0.088,0.02,0.019,0.025,0.023,0.018,0.017,0.017,0.017,0.014,0.0258,0.0185
ore_ont_16267.owl,0.154,0.043,0.055,0.049,0.041,0.021,0.02,0.03,0.031,0.03,0.0474,0.036
ore_ont_16630.owl,0.122,0.035,0.026,0.035,0.021,0.03,0.028,0.025,0.024,0.023,0.0369,0.027
ore_ont_16814.owl,0.303,0.157,0.116,0.098,0.095,0.07,0.08,0.062,0.058,0.09,0.1129,0.0925
ore_ont_16197.owl,0.105,0.04,0.032,0.016,0.024,0.022,0.019,0.016,0.012,0.013,0.0299,0.0205
