ore_ont_9805.owl,0.055,0.015,0.018,0.015,0.008,0.01,0.01,0.007,0.007,0.009,0.015399999999999999,0.01
ore_ont_2936.owl,0.052,0.03,0.012,0.014,0.012,0.011,0.011,0.011,0.007,0.006,0.0166,0.0115
ore_ont_11949.owl,0.064,0.021,0.018,0.018,0.016,0.014,0.013,0.009,0.006,0.006,0.0185,0.015
ore_ont_8662.owl,0.066,0.032,0.019,0.019,0.018,0.015,0.012,0.014,0.011,0.01,0.021599999999999998,0.0165
ore_ont_15971.owl,0.051,0.012,0.013,0.009,0.011,0.008,0.009,0.01,0.008,0.008,0.0139,0.0095
ore_ont_8937.owl,0.078,0.026,0.024,0.016,0.015,0.015,0.01,0.009,0.008,0.008,0.0209,0.015
ore_ont_580.owl,0.047,0.026,0.02,0.014,0.009,0.008,0.008,0.011,0.008,0.008,0.015899999999999997,0.009999999999999998
ore_ont_9509.owl,0.034,0.011,0.011,0.006,0.008,0.008,0.007,0.007,0.007,0.006,0.0105,0.0075
ore_ont_7839.owl,0.054,0.011,0.013,0.013,0.013,0.012,0.011,0.01,0.01,0.009,0.0156,0.0115
ore_ont_10309.owl,0.05,0.021,0.016,0.012,0.014,0.012,0.011,0.011,0.01,0.01,0.0167,0.012
ore_ont_13503.owl,0.05,0.017,0.013,0.011,0.01,0.009,0.009,0.007,0.007,0.007,0.014,0.0095
ore_ont_480.owl,0.072,0.02,0.013,0.015,0.013,0.009,0.007,0.007,0.006,0.007,0.0169,0.011
ore_ont_14746.owl,0.046,0.012,0.01,0.008,0.007,0.007,0.007,0.007,0.01,0.008,0.012199999999999999,0.008
ore_ont_15331.owl,0.063,0.011,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.0134,0.008
ore_ont_1420.owl,0.045,0.021,0.017,0.016,0.008,0.008,0.006,0.006,0.005,0.006,0.0138,0.008
ore_ont_1526.owl,0.067,0.016,0.058,0.024,0.017,0.013,0.015,0.012,0.011,0.01,0.024300000000000002,0.0155
ore_ont_4856.owl,0.128,0.035,0.026,0.02,0.025,0.027,0.03,0.034,0.022,0.02,0.0367,0.0265
ore_ont_2485.owl,0.049,0.012,0.01,0.01,0.007,0.008,0.006,0.007,0.007,0.006,0.0122,0.0075
ore_ont_5107.owl,0.265,0.152,0.1,0.12,0.112,0.069,0.082,0.088,0.08,0.076,0.1144,0.094
ore_ont_7639.owl,0.069,0.017,0.014,0.014,0.012,0.011,0.011,0.011,0.01,0.009,0.0178,0.0115
ore_ont_13429.owl,0.031,0.005,0.005,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.0061,0.0035
ore_ont_9854.owl,0.041,0.012,0.01,0.007,0.008,0.005,0.006,0.005,0.006,0.005,0.0105,0.006500000000000001
ore_ont_15167.owl,0.146,0.072,0.06,0.048,0.039,0.034,0.033,0.037,0.028,0.023,0.052,0.038
ore_ont_13306.owl,0.092,0.032,0.029,0.016,0.023,0.021,0.019,0.017,0.018,0.015,0.0282,0.02
ore_ont_5292.owl,0.069,0.024,0.024,0.025,0.019,0.017,0.014,0.011,0.011,0.011,0.022500000000000003,0.018000000000000002
ore_ont_5255.owl,0.068,0.036,0.028,0.019,0.021,0.02,0.014,0.012,0.011,0.009,0.0238,0.0195
