ore_ont_6461.owl,0.036,0.006,0.005,0.007,0.005,0.005,0.005,0.004,0.004,0.003,0.008,0.005
ore_ont_8335.owl,0.081,0.04,0.033,0.028,0.02,0.016,0.013,0.011,0.011,0.009,0.0262,0.018000000000000002
ore_ont_2775.owl,0.064,0.028,0.037,0.018,0.013,0.017,0.014,0.012,0.012,0.011,0.0226,0.0155
ore_ont_16827.owl,0.087,0.039,0.046,0.03,0.021,0.024,0.031,0.03,0.03,0.018,0.0356,0.03
ore_ont_14588.owl,java.lang.NoClassDefFoundError: javax/xml/bind/DatatypeConverter
ore_ont_1524.owl,0.091,0.037,0.019,0.025,0.024,0.017,0.009,0.008,0.008,0.007,0.0245,0.018000000000000002
ore_ont_9462.owl,0.058,0.024,0.019,0.014,0.012,0.01,0.011,0.008,0.009,0.005,0.017,0.0115
ore_ont_15421.owl,0.162,0.045,0.035,0.028,0.02,0.019,0.018,0.016,0.023,0.022,0.0388,0.0225
ore_ont_7417.owl,0.069,0.031,0.027,0.021,0.031,0.027,0.014,0.016,0.015,0.013,0.0264,0.024
ore_ont_3936.owl,0.06,0.025,0.021,0.018,0.015,0.018,0.015,0.012,0.01,0.011,0.0205,0.0165
ore_ont_16723.owl,0.069,0.03,0.025,0.014,0.012,0.017,0.017,0.015,0.014,0.012,0.022500000000000003,0.016
ore_ont_13132.owl,0.509,0.359,0.295,0.257,0.218,0.346,0.162,0.157,0.133,0.152,0.25880000000000003,0.2375
ore_ont_13885.owl,0.089,0.025,0.023,0.02,0.017,0.024,0.015,0.021,0.019,0.018,0.0271,0.0205
ore_ont_16274.owl,0.084,0.024,0.034,0.018,0.016,0.019,0.017,0.01,0.009,0.009,0.024,0.0175
ore_ont_3205.owl,0.059,0.018,0.027,0.024,0.021,0.018,0.016,0.016,0.01,0.013,0.0222,0.018
ore_ont_16267.owl,0.125,0.059,0.031,0.024,0.026,0.026,0.019,0.023,0.023,0.023,0.037899999999999996,0.025
ore_ont_16630.owl,0.109,0.028,0.037,0.035,0.028,0.023,0.041,0.02,0.021,0.022,0.0364,0.028
ore_ont_16814.owl,0.256,0.099,0.08,0.057,0.072,0.07,0.067,0.055,0.065,0.07,0.0891,0.07
ore_ont_16197.owl,0.084,0.022,0.02,0.017,0.015,0.013,0.012,0.012,0.01,0.009,0.0214,0.013999999999999999
