Statistics,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1420.owl,42,0,158,81,77,0,4,0,36,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_1526.owl,41,8,152,75,67,8,0,1,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4856.owl,61,1,177,77,76,1,0,0,41,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_2485.owl,5,3,226,113,110,3,0,107,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_5107.owl,50,24,182,126,102,24,0,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7639.owl,15,0,218,141,123,0,18,27,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13429.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9854.owl,61,0,170,96,96,0,0,0,14,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15167.owl,53,0,335,206,177,0,29,20,58,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13306.owl,40,0,195,99,89,0,10,8,49,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5292.owl,70,18,193,88,57,18,13,3,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5255.owl,89,0,207,115,112,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8667.owl,87,0,167,79,79,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8974.owl,15,0,157,95,95,0,0,0,49,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3330.owl,50,0,193,116,110,0,6,11,17,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1967.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15399.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_5852.owl,74,0,134,60,60,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10174.owl,133,0,266,133,133,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13392.owl,124,0,265,136,132,0,4,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
