Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Consistency,HermiT_Consistency,JFact_Consistency,Konclude_Consistency,Openllet_Consistency,Pellet_Consistency,KoncludeCLI_Consistency,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Consistency_LoadingAdded,HermiT_Consistency_LoadingAdded,JFact_Consistency_LoadingAdded,Konclude_Consistency_LoadingAdded,Openllet_Consistency_LoadingAdded,Pellet_Consistency_LoadingAdded,KoncludeCLI_Consistency_LoadingAdded,Ontology Loading,Factpp_Consistency_AllLoadingAdded,HermiT_Consistency_AllLoadingAdded,JFact_Consistency_AllLoadingAdded,Konclude_Consistency_AllLoadingAdded,Openllet_Consistency_AllLoadingAdded,Pellet_Consistency_AllLoadingAdded,KoncludeCLI_Consistency_AllLoadingAdded
gallen.owl,23136,0,63324,37696,36205,0,1491,0,950,1,OWL2_DL - OWL2_FULL,OWL2_DL,37.2658,0.0006000000000000001,,0.0021,0.5374,0.4833,2.7262,0.2822,2.732,0.2503,1.8769,1.1587,0.9282,37.548,2.7326,,1.879,1.6961,1.4115,2.7262,1.9024,39.4504,4.635,,3.7814,3.5985,3.3139000000000003,2.7262
ochv.owl,115645,0,505642,173501,173475,0,26,1,17,18,OWL2_FULL,OWL2_FULL,0.6052,0.0008,209.0451,0.0034,0.441,0.4516,7.4562,1.1561,3.2611,1.2308,5.2507,2.6604,1.9837,1.7612999999999999,3.2619,210.27589999999998,5.2541,3.1014,2.4353,7.4562,6.1007,7.862,9.3626,216.37659999999997,11.354800000000001,9.2021,8.536,7.4562
snmi.owl,109156,109150,998278,490449,109047,381376,26,6,21,21,OWL2_FULL,OWL2_FULL,3.1833,7.129,,0.0023,1.3965,1.3196,8.1655,3.3935,5.0667,3.0773,15.5143,7.8711,6.8329,6.5768,12.195699999999999,,15.5166,9.2676,8.1525,8.1655,15.2945,21.871299999999998,27.490199999999998,,30.8111,24.5621,23.447,8.1655
reto.owl,147738,138523,1927495,941797,152173,789624,0,0,12,7,OWL2_FULL,OWL2_FULL,3.9029,2.365,738.169,0.0021,1.3882,1.4417,16.2516,5.1971,7.2469,4.3503,27.5785,10.9453,9.2846,9.1,9.6119,742.5192999999999,27.580599999999997,12.333499999999999,10.726299999999998,16.2516,16.857,25.957,26.468899999999998,759.3762999999999,44.437599999999996,29.1905,27.583299999999998,16.2516
rexo.owl,158239,149084,2043111,997563,162839,834724,0,0,12,7,OWL2_FULL,OWL2_FULL,4.1972,2.385,839.5281,0.0022,1.4043,1.4067,31.8789,5.3123000000000005,7.8052,5.1625,29.0946,11.6621,10.1518,9.5095,10.1902,844.6906,29.096799999999998,13.066400000000002,11.5585,31.8789,17.9238,27.4333,28.114,862.6144,47.0206,30.9902,29.482300000000002,31.8789
gexo.owl,166254,157102,2143045,1052276,170932,881344,0,0,12,7,OWL2_FULL,OWL2_FULL,4.5945,2.5692,905.2962,0.002,1.3391,1.3786,32.6667,5.8701,8.2493,5.3315,31.0443,12.319,10.6374,10.4646,10.8185,910.6277,31.0463,13.658100000000001,12.016,32.6667,18.8564,29.321,29.6749,929.4841,49.902699999999996,32.5145,30.8724,32.6667
iobc.owl,126847,66923,1929343,316724,182277,134384,63,0,59,30,OWL2_DL - OWL2_FULL,OWL2_DL,1.8793,1.663,318.1461,0.0019,1.2181,1.1447,21.3336,2.357,4.2941,2.9748,9.3539,4.8332,4.773,4.2363,5.9571000000000005,321.1209,9.355799999999999,6.0512999999999995,5.9177,21.3336,17.8502,22.0865,23.8073,338.9711,27.206,23.9015,23.7679,21.3336
rhmesh.owl,305349,0,1654092,432805,432805,0,0,0,1,2,OWL2_FULL,OWL2_FULL,1.6956,0.0006000000000000001,168.3202,0.0022,1.2683,1.2186,19.9489,3.3504,8.205,3.6376,10.9328,7.577,6.4454,5.046,8.2056,171.9578,10.935,8.8453,7.664,19.9489,18.9571,24.0031,27.1627,190.9149,29.8921,27.8024,26.6211,19.9489
hoom.xml,117829,1,461823,222011,221980,1,30,2,12,11,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0220999999999999,,0.002,,,2.908,12.1493,22.3497,1.8835,23.4341,5.678,4.8775,,22.371799999999997,,23.4361,,,2.908,17.8347,,40.2065,,41.2708,,,2.908
fma.owl,104721,2,791248,296460,296329,2,129,29,139,51,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0026,,0.0019,3.9161,3.8994,58.0231,1.813,11.7183,1.4588,11.7216,1721.5037,1726.7027,,11.720899999999999,,11.7235,1725.4198,1730.6021,58.0231,21.7194,,33.4403,,33.4429,1747.1391999999998,1752.3215,58.0231
