Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization
gallen.owl,23136,0,63324,37696,36205,0,1491,0,950,1,OWL2_DL - OWL2_FULL,OWL2_DL,,0.00030000000000000003,,9.3707,,,13.7697
ochv.owl,115645,0,505642,173501,173475,0,26,1,17,18,OWL2_FULL,OWL2_FULL,1822.6472,0.001,,1.5162,963.3387,832.1246,9.7193
snmi.owl,109156,109150,998278,490449,109047,381376,26,6,21,21,OWL2_FULL,OWL2_FULL,1873.3226,1465.8397,,1.1118,10.9804,9.5351,12.8254
reto.owl,147738,138523,1927495,941797,152173,789624,0,0,12,7,OWL2_FULL,OWL2_FULL,2318.4704,18.5409,,1.5162,3.2838,3.2431,20.7903
rexo.owl,158239,149084,2043111,997563,162839,834724,0,0,12,7,OWL2_FULL,OWL2_FULL,2537.5354,20.1902,,1.6222,3.4755,3.3543,36.6366
gexo.owl,166254,157102,2143045,1052276,170932,881344,0,0,12,7,OWL2_FULL,OWL2_FULL,2890.1311,19.8306,,1.6937,3.5512,3.5897,37.6571
iobc.owl,126847,66923,1929343,316724,182277,134384,63,0,59,30,OWL2_DL - OWL2_FULL,OWL2_DL,,1216.4435,,2.5334,173.8074,172.9724,24.2175
rhmesh.owl,305349,0,1654092,432805,432805,0,0,0,1,2,OWL2_FULL,OWL2_FULL,7.1301,0.0005,,4.7233,8.7143,8.2704,29.4762
hoom.xml,117829,1,461823,222011,221980,1,30,2,12,11,OWL2_DL - OWL2_FULL,OWL2_DL,,,,164.2287,,,2.9152
fma.owl,104721,2,791248,296460,296329,2,129,29,139,51,OWL2_DL - OWL2_FULL,OWL2_DL,,,,7.6767,,,58.9893
nifstd.xml,157666,130781,1962343,483775,320798,161717,1242,6,833,587,OWL2_FULL,OWL2_FULL,,,,,,,6.053
upheno.xml,159212,17091,1552159,468679,446500,21697,462,1,341,372,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,6.8999
ncit.owl,169111,0,2850463,234117,234104,0,13,0,97,141,OWL2_FULL,OWL2_FULL,,0.001,,,215.8511,,
dron.xml,578206,510104,3498249,1642634,1158027,484583,24,1,20,77,OWL2_DL - OWL2_FULL,OWL2_DL,,,,39.1338,,,9.4193
loinc.owl,268558,268552,7079178,5632197,257534,5374637,26,70,105,21,OWL2_FULL,OWL2_FULL,,,,,,,109.189
chebi.xml,171059,50642,3314948,397690,310133,87554,3,0,10,40,OWL2_DL - OWL2_FULL,OWL2_DL,2286.3683,152.3998,,2.963,837.4417,1152.2098,10.3578
MESH.owl,347698,347692,9612820,7289654,40919,7248709,26,28,27,21,OWL2_FULL,OWL2_FULL,,,,,,,124.6795
ncbitaxon.owl,1908229,1908223,17351973,9541037,1908189,7632822,26,3,18,21,OWL2_FULL,OWL2_FULL,,,,,343.0202,282.0597,159.213
gaz.xml,668839,660755,7801093,2256702,1460125,796571,6,0,15,33,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,13.8071,,,19.9441
pr.xml,332354,294425,5151763,1426166,1007050,419110,6,0,21,42,OWL2_DL - OWL2_FULL,OWL2_DL,,,,24.1066,,,19.9806
cco.xml,264892,255182,9925469,4229990,2249881,1980102,7,0,15,64,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,25.7453
