Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0203,0.0317,0.003,0.017,0.0153999999999999,0.0171
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0259,0.0293,0.0041,0.0151,0.0166,0.0181
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0255999999999999,0.0346,0.003,0.0202,0.0185,0.0172
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0343,0.024,0.0028,0.0251,0.0215999999999999,0.0172
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0306999999999999,0.023,0.0036,0.0133,0.0139,0.0168
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0228,0.0348,0.0034,0.0251,0.0209,0.018
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0004,0.0224,0.0353,0.0037,0.0181,0.0158999999999999,0.0174
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0164999999999999,0.0243,0.0034,0.0117,0.0105,0.0173
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.034,0.0358,0.0029,0.0167,0.0156,0.0173
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0219,0.0292,0.0029,0.0203,0.0167,0.017
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.022,0.0305,0.0048,0.0189,0.014,0.0188
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0171,0.0235,0.0029,0.019,0.0169,0.0173
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.036,0.0347,0.0031,0.0154,0.0121999999999999,0.0178
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0357,0.0302,0.0029,0.0139,0.0134,0.0178
