Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Classification_LoadingAdded,HermiT_Classification_LoadingAdded,JFact_Classification_LoadingAdded,Konclude_Classification_LoadingAdded,Openllet_Classification_LoadingAdded,Pellet_Classification_LoadingAdded,KoncludeCLI_Classification_LoadingAdded
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0203,0.0317,0.003,0.017,0.0153999999999999,0.0171,0.0038,0.0197,0.0063,0.0275,0.0131,0.0112,0.0044,0.039999999999999994,0.038,0.0305,0.030100000000000002,0.0265999999999999,0.0171
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0259,0.0293,0.0041,0.0151,0.0166,0.0181,,0.0293,0.0069999999999999,0.0313,0.013,0.0128,,0.0552,0.0362999999999999,0.0354,0.0281,0.029400000000000003,0.0181
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0255999999999999,0.0346,0.003,0.0202,0.0185,0.0172,0.004,0.0278,0.0066,0.0286,0.014,0.0117,0.0045000000000000005,0.0533999999999999,0.0412,0.0316,0.0342,0.030199999999999998,0.0172
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0343,0.024,0.0028,0.0251,0.0215999999999999,0.0172,0.0039,0.0185,0.0066999999999999,0.0269999999999999,0.0143,0.0121,0.0045,0.0528,0.0306999999999999,0.0297999999999999,0.039400000000000004,0.0336999999999999,0.0172
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0306999999999999,0.023,0.0036,0.0133,0.0139,0.0168,0.0035,0.0209,0.0065,0.0259,0.0125999999999999,0.0117,0.004,0.051599999999999896,0.0295,0.0295,0.0258999999999999,0.025599999999999998,0.0168
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0228,0.0348,0.0034,0.0251,0.0209,0.018,0.004,0.0192,0.0063,0.0283,0.0120999999999999,0.0115,0.0047,0.041999999999999996,0.0411,0.0317,0.0371999999999999,0.0324,0.018
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0004,0.0224,0.0353,0.0037,0.0181,0.0158999999999999,0.0174,0.0045,0.0159,0.0078,0.0282,0.0146,0.0119,0.0049,0.0383,0.0431,0.0319,0.0327,0.0277999999999999,0.0174
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0164999999999999,0.0243,0.0034,0.0117,0.0105,0.0173,0.004,0.0178,0.0062999999999999,0.0266999999999999,0.0139999999999999,0.0138,0.0045000000000000005,0.0342999999999999,0.030599999999999898,0.0300999999999999,0.0256999999999999,0.024300000000000002,0.0173
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.034,0.0358,0.0029,0.0167,0.0156,0.0173,0.0038,0.0202,0.0066,0.0281,0.0129,0.0116,0.0045,0.0542,0.0424,0.031,0.0296,0.0272,0.0173
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0219,0.0292,0.0029,0.0203,0.0167,0.017,0.0038,0.0163,0.0068,0.0271,0.0124,0.0116,0.0043,0.0382,0.036,0.03,0.0327,0.0283,0.017
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.022,0.0305,0.0048,0.0189,0.014,0.0188,0.0069999999999999,0.0174,0.0062999999999999,0.0275,0.0132,0.0128,0.0075999999999999,0.0394,0.0367999999999999,0.0323,0.032100000000000004,0.0268,0.0188
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0171,0.0235,0.0029,0.019,0.0169,0.0173,0.0063,0.0198,0.0066,0.0272,0.0138,0.0121,0.0068000000000000005,0.0369,0.030100000000000002,0.0301,0.032799999999999996,0.028999999999999998,0.0173
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.036,0.0347,0.0031,0.0154,0.0121999999999999,0.0178,0.009,0.0231,0.007,0.0286,0.0134999999999999,0.0123,0.0096,0.0591,0.0417,0.0317,0.028899999999999898,0.0244999999999999,0.0178
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0357,0.0302,0.0029,0.0139,0.0134,0.0178,0.0042,0.0206,0.0069,0.0287,0.0147999999999999,0.0119,0.004699999999999999,0.0563,0.0371,0.0316,0.0286999999999999,0.025300000000000003,0.0178
ore_ont_1420.owl,42,0,158,81,77,0,4,0,36,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0246,0.029,0.0031,0.0148,0.0138,0.0177,0.0037999999999999,0.0175,0.0070999999999999,0.0279,0.0130999999999999,0.0118,0.0043999999999999,0.0421,0.0360999999999999,0.031,0.0278999999999999,0.025599999999999998,0.0177
ore_ont_1526.owl,41,8,152,75,67,8,0,1,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0242,0.0316,0.0044,0.018,0.0243,0.0189,0.0039,0.0168,0.007,0.0267,0.013,0.0129,0.004399999999999999,0.040999999999999995,0.0386,0.031100000000000003,0.031,0.0372,0.0189
ore_ont_4856.owl,61,1,177,77,76,1,0,0,41,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0009,0.0263,0.0481,0.0032,0.0358,0.0367,0.0181,0.0039,0.0191,0.0074,0.0265,0.0144,0.012,0.0048,0.045399999999999996,0.055499999999999994,0.0297,0.050199999999999995,0.04870000000000001,0.0181
ore_ont_2485.owl,5,3,226,113,110,3,0,107,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0012,0.0388,0.0485,0.0029,0.0119,0.0122,0.0173,0.0055,0.0288,0.0071,0.0272999999999999,0.0138,0.0116,0.006699999999999999,0.0676,0.055600000000000004,0.0301999999999999,0.0257,0.0238,0.0173
ore_ont_5107.owl,50,24,182,126,102,24,0,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.1372,0.0568,0.0316,0.0954,0.1144,0.0383,0.0046,0.0228,0.0078,0.0314,0.0153,0.0134,0.0073,0.15999999999999998,0.0646,0.063,0.11069999999999999,0.1278,0.0383
ore_ont_7639.owl,15,0,218,141,123,0,18,27,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0361,0.0414999999999999,0.003,0.0191,0.0178,0.0177,0.0054,0.0337,0.0073,0.0298,0.0153999999999999,0.0127,0.006200000000000001,0.0698,0.0487999999999999,0.0328,0.0344999999999999,0.0305,0.0177
ore_ont_13429.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0147999999999999,0.0167,0.0031,0.0065,0.0061,0.0174,0.0036999999999999,0.0184,0.0062999999999999,0.0266999999999999,0.0136,0.0116,0.0040999999999999,0.033199999999999896,0.0229999999999999,0.0297999999999999,0.0201,0.0177,0.0174
ore_ont_9854.owl,61,0,170,96,96,0,0,0,14,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004000000000000001,0.0169999999999999,0.0201,0.0028,0.0096,0.0105,0.018,0.0043,0.0175999999999999,0.0063,0.0279,0.014,0.0133,0.0047,0.0345999999999998,0.0264,0.0307,0.0236,0.0238,0.018
ore_ont_15167.owl,53,0,335,206,177,0,29,20,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.0432,0.0655,0.0109,0.041,0.052,0.0272,0.0061,0.0383,0.0084,0.0323,0.0172,0.0155,0.0088,0.0815,0.07390000000000001,0.0432,0.0582,0.0675,0.0272
