Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Consistency,HermiT_Consistency,JFact_Consistency,Konclude_Consistency,Openllet_Consistency,Pellet_Consistency,KoncludeCLI_Consistency,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Consistency_LoadingAdded,HermiT_Consistency_LoadingAdded,JFact_Consistency_LoadingAdded,Konclude_Consistency_LoadingAdded,Openllet_Consistency_LoadingAdded,Pellet_Consistency_LoadingAdded,KoncludeCLI_Consistency_LoadingAdded
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0002,0.0006000000000000001,0.0232,0.002,0.0072,0.0068,0.0122,0.0038,0.0197,0.0063,0.0275,0.0131,0.0112,0.004,0.0203,0.0295,0.0295,0.0203,0.018,0.0122
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0004000000000000001,0.0248,0.002,0.0062999999999999,0.0054,0.0156,,0.0293,0.0069999999999999,0.0313,0.013,0.0128,,0.0297,0.0317999999999999,0.0333,0.0192999999999999,0.0182,0.0156
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0003,0.0005,0.0291,0.0023,0.0054,0.0057,0.0123,0.004,0.0278,0.0066,0.0286,0.014,0.0117,0.0043,0.0283,0.0357,0.0309,0.0194,0.0174,0.0123
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0005,0.0007,0.0237,0.002,0.0092,0.0079,0.0122,0.0039,0.0185,0.0066999999999999,0.0269999999999999,0.0143,0.0121,0.004399999999999999,0.0192,0.0303999999999999,0.0289999999999999,0.0235,0.02,0.0122
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0003,0.0015,0.0212,0.0018,0.0059,0.0049,0.0151,0.0035,0.0209,0.0065,0.0259,0.0125999999999999,0.0117,0.0038,0.0224,0.0277,0.0277,0.0184999999999999,0.0166,0.0151
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0008,0.0008,0.0281,0.0021,0.0092,0.0085,0.0158,0.004,0.0192,0.0063,0.0283,0.0120999999999999,0.0115,0.0048000000000000004,0.019999999999999997,0.0344,0.0304,0.021299999999999902,0.02,0.0158
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0009,0.036,0.002,0.0066,0.0052999999999999,0.0154,0.0045,0.0159,0.0078,0.0282,0.0146,0.0119,0.0053,0.016800000000000002,0.0438,0.030199999999999998,0.0212,0.017199999999999903,0.0154
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0004,0.0183,0.0021,0.0052,0.0048,0.0122,0.004,0.0178,0.0062999999999999,0.0266999999999999,0.0139999999999999,0.0138,0.0044,0.0182,0.0245999999999999,0.028799999999999902,0.019199999999999898,0.0186,0.0122
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0005,0.0289,0.002,0.0063,0.0054,0.0155,0.0038,0.0202,0.0066,0.0281,0.0129,0.0116,0.0043,0.0207,0.0355,0.030100000000000002,0.019200000000000002,0.017,0.0155
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0008,0.0004000000000000001,0.0277,0.0024,0.0092,0.0083,0.0123,0.0038,0.0163,0.0068,0.0271,0.0124,0.0116,0.0046,0.0167,0.034499999999999996,0.0295,0.0216,0.0199,0.0123
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.0006000000000000001,0.0303,0.0023,0.0054,0.005,0.0154,0.0069999999999999,0.0174,0.0062999999999999,0.0275,0.0132,0.0128,0.0076999999999999005,0.018,0.0365999999999999,0.0298,0.0186,0.0178,0.0154
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006,0.0004,0.0201,0.0018,0.0073,0.0060999999999999,0.0123,0.0063,0.0198,0.0066,0.0272,0.0138,0.0121,0.0069,0.020200000000000003,0.0267,0.028999999999999998,0.0211,0.0181999999999999,0.0123
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0005,0.0317,0.0019,0.0056,0.0063,0.0158,0.009,0.0231,0.007,0.0286,0.0134999999999999,0.0123,0.0098,0.0236,0.0387,0.0305,0.0190999999999999,0.0186,0.0158
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006,0.0003000000000000001,0.0292,0.0022,0.0066999999999999,0.0063,0.016,0.0042,0.0206,0.0069,0.0287,0.0147999999999999,0.0119,0.0048,0.020900000000000002,0.0361,0.0309,0.0214999999999998,0.0182,0.016
ore_ont_1420.owl,42,0,158,81,77,0,4,0,36,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0006999999999999999,0.0298,0.002,0.0073,0.0083,0.0127,0.0037999999999999,0.0175,0.0070999999999999,0.0279,0.0130999999999999,0.0118,0.0044999999999999,0.0182,0.0368999999999999,0.029900000000000003,0.0203999999999999,0.0201,0.0127
ore_ont_1526.owl,41,8,152,75,67,8,0,1,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006,0.0007,0.0259,0.0022,0.0055,0.0053,0.0156,0.0039,0.0168,0.007,0.0267,0.013,0.0129,0.0045,0.017499999999999998,0.0329,0.028900000000000002,0.0185,0.0182,0.0156
ore_ont_4856.owl,61,1,177,77,76,1,0,0,41,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0004,0.0007,0.0303,0.0019,0.0094,0.0093,0.0159,0.0039,0.0191,0.0074,0.0265,0.0144,0.012,0.0043,0.019799999999999998,0.0377,0.028399999999999998,0.0238,0.0213,0.0159
ore_ont_2485.owl,5,3,226,113,110,3,0,107,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0011,0.0005,0.0485,0.002,0.0048,0.0046,0.0128,0.0055,0.0288,0.0071,0.0272999999999999,0.0138,0.0116,0.0066,0.0293,0.055600000000000004,0.029299999999999903,0.0186,0.0162,0.0128
ore_ont_5107.owl,50,24,182,126,102,24,0,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0016,0.003,0.0338,0.0021,0.0068,0.007,0.0175,0.0046,0.0228,0.0078,0.0314,0.0153,0.0134,0.0062,0.0258,0.0416,0.033499999999999995,0.022099999999999998,0.0204,0.0175
ore_ont_7639.owl,15,0,218,141,123,0,18,27,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0002,0.0312,0.0023,0.0072,0.0072999999999999,0.0161,0.0054,0.0337,0.0073,0.0298,0.0153999999999999,0.0127,0.006200000000000001,0.0339,0.0385,0.032100000000000004,0.022599999999999898,0.0199999999999999,0.0161
ore_ont_13429.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0003,0.0004,0.0123,0.002,0.0031,0.0024,0.0126,0.0036999999999999,0.0184,0.0062999999999999,0.0266999999999999,0.0136,0.0116,0.0039999999999999,0.0188,0.0185999999999999,0.0286999999999999,0.0167,0.013999999999999999,0.0126
ore_ont_9854.owl,61,0,170,96,96,0,0,0,14,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.00030000000000000003,0.0212,0.0021,0.0058,0.0051,0.0125,0.0043,0.0175999999999999,0.0063,0.0279,0.014,0.0133,0.0047,0.017899999999999902,0.0275,0.030000000000000002,0.019799999999999998,0.0184,0.0125
ore_ont_15167.owl,53,0,335,206,177,0,29,20,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0018,0.0005,0.0447,0.0021,0.0132,0.0124999999999999,0.0174,0.0061,0.0383,0.0084,0.0323,0.0172,0.0155,0.0079,0.0388,0.053099999999999994,0.0344,0.0304,0.0279999999999999,0.0174
ore_ont_13306.owl,40,0,195,99,89,0,10,8,49,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.0002,0.0316,0.0022,0.0074,0.0072,0.0161,0.0042,0.0348,0.0078,0.0272,0.0142,0.0138,0.0049,0.034999999999999996,0.039400000000000004,0.0294,0.0216,0.020999999999999998,0.0161
ore_ont_5292.owl,70,18,193,88,57,18,13,3,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006,0.0009,0.0242,0.0019,0.0062,0.0064,0.0156,0.0043999999999999,0.0269,0.0074,0.0266,0.0135,0.013,0.0049999999999998995,0.027800000000000002,0.0316,0.028499999999999998,0.0197,0.0194,0.0156
ore_ont_5255.owl,89,0,207,115,112,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0001,0.0005,0.0154,0.0019,0.0042,0.0036,0.0124,0.0038,0.0214,0.0066,0.0279,0.0129,0.012,0.0039,0.0219,0.022,0.0298,0.0171,0.0156,0.0124
