Ontology,FileSize
ore_ont_10004.owl,479749
ore_ont_10006.owl,8509633
ore_ont_10008.owl,15840689
ore_ont_10009.owl,95858
ore_ont_10016.owl,47356702
ore_ont_10019.owl,28871
ore_ont_10026.owl,425393
ore_ont_10032.owl,20177958
ore_ont_10053.owl,2261412
ore_ont_10056.owl,82533
ore_ont_10058.owl,1302919
ore_ont_10068.owl,19785201
ore_ont_10073.owl,41887286
ore_ont_10080.owl,3569579
ore_ont_10088.owl,47582
ore_ont_10109.owl,134711
ore_ont_1012.owl,146045080
ore_ont_10123.owl,2186889
ore_ont_10125.owl,84249159
ore_ont_10127.owl,17845208
ore_ont_10133.owl,217461
ore_ont_10134.owl,316480
ore_ont_10136.owl,21122917
ore_ont_10140.owl,31906036
ore_ont_10146.owl,526074
ore_ont_1016.owl,1189003
ore_ont_10160.owl,398026
ore_ont_10161.owl,126975538
ore_ont_10162.owl,151458
ore_ont_1017.owl,382942
ore_ont_10173.owl,1319672
ore_ont_10174.owl,22985
ore_ont_10175.owl,13805708
ore_ont_10176.owl,34764
ore_ont_10197.owl,1802709
ore_ont_10199.owl,65582
ore_ont_10212.owl,1714653
ore_ont_10230.owl,178756
ore_ont_10242.owl,1446224
ore_ont_10248.owl,18522746
ore_ont_10254.owl,902201
ore_ont_10264.owl,36455
ore_ont_10270.owl,1354291
ore_ont_10275.owl,1284887
ore_ont_1028.owl,4049212
ore_ont_10280.owl,1749333
ore_ont_10283.owl,234210
ore_ont_10285.owl,66259
ore_ont_10309.owl,14958
ore_ont_10314.owl,134959
ore_ont_10320.owl,153211
ore_ont_10321.owl,26630
ore_ont_10326.owl,747915
ore_ont_1034.owl,90783
ore_ont_10340.owl,62638
ore_ont_10348.owl,1870545
ore_ont_10350.owl,544466
ore_ont_10355.owl,73220
ore_ont_10362.owl,59624
ore_ont_10366.owl,417899
ore_ont_10380.owl,52277804
ore_ont_10384.owl,2158263
ore_ont_10388.owl,55450
ore_ont_10389.owl,1637631
ore_ont_10391.owl,7000301
ore_ont_10407.owl,45083
ore_ont_10409.owl,1244879
ore_ont_10413.owl,40651
ore_ont_10419.owl,239944
ore_ont_10423.owl,1269283
ore_ont_10425.owl,2099324
ore_ont_1043.owl,22109008
ore_ont_10431.owl,104369
ore_ont_10445.owl,83159404
ore_ont_10460.owl,141422
ore_ont_10481.owl,1401011
ore_ont_105.owl,55930
ore_ont_10503.owl,267210
ore_ont_10516.owl,75105
ore_ont_10517.owl,255099
ore_ont_10536.owl,43048
ore_ont_10537.owl,50808
ore_ont_10568.owl,97308515
ore_ont_10571.owl,109117
ore_ont_10580.owl,73369
ore_ont_10588.owl,1291304
ore_ont_1059.owl,11895897
ore_ont_10594.owl,1303429
ore_ont_10608.owl,1547762
ore_ont_1062.owl,1346701
ore_ont_10621.owl,28758860
ore_ont_1065.owl,1101533
ore_ont_1066.owl,6631128
ore_ont_10672.owl,1245216
ore_ont_10681.owl,80905
ore_ont_10689.owl,178069556
ore_ont_10697.owl,31753427
ore_ont_10702.owl,203217
ore_ont_10742.owl,875432
ore_ont_10749.owl,1481574
ore_ont_10750.owl,138901880
ore_ont_10752.owl,58702
ore_ont_10754.owl,2662581
ore_ont_10769.owl,65753
ore_ont_10774.owl,1809195
ore_ont_10776.owl,221843
ore_ont_10778.owl,11543610
ore_ont_10781.owl,859750
ore_ont_10805.owl,71874
ore_ont_10806.owl,2364816
ore_ont_10807.owl,198771
ore_ont_1082.owl,8441784
ore_ont_10823.owl,46034
ore_ont_10833.owl,73327
ore_ont_10838.owl,28585731
ore_ont_10860.owl,365694
ore_ont_10874.owl,478092
ore_ont_10888.owl,50815
ore_ont_10890.owl,1866030
ore_ont_10892.owl,1344856
ore_ont_10894.owl,57859
ore_ont_10906.owl,215229
ore_ont_10908.owl,180058
ore_ont_1091.owl,1304301
ore_ont_10926.owl,584214274
ore_ont_10929.owl,51968091
ore_ont_10930.owl,12783564
ore_ont_10949.owl,2782932
ore_ont_10951.owl,3700501
ore_ont_10952.owl,723227
ore_ont_10965.owl,10783463
ore_ont_10968.owl,964211
ore_ont_10985.owl,1251724
ore_ont_10991.owl,1578825
ore_ont_10992.owl,2554052
ore_ont_11003.owl,55248
ore_ont_11004.owl,62226
ore_ont_11005.owl,20307995
ore_ont_11009.owl,220149
ore_ont_11010.owl,66026
ore_ont_11014.owl,291981
ore_ont_11016.owl,154806
ore_ont_11037.owl,38589648
ore_ont_11053.owl,20898995
ore_ont_11064.owl,139435
ore_ont_11081.owl,4545760
ore_ont_11085.owl,5642058
ore_ont_11110.owl,11217428
ore_ont_11115.owl,299488
ore_ont_1112.owl,1787109
ore_ont_11124.owl,1446443
ore_ont_11125.owl,63965
ore_ont_11126.owl,3503673
ore_ont_11131.owl,1463423
ore_ont_11133.owl,44397
ore_ont_11140.owl,2183969
ore_ont_11149.owl,81094
ore_ont_1115.owl,7748123
ore_ont_11157.owl,315249
ore_ont_1117.owl,603300
ore_ont_1119.owl,3826972
ore_ont_11196.owl,8150598
ore_ont_11198.owl,9794208
ore_ont_11203.owl,67788
ore_ont_11207.owl,17185027
ore_ont_1123.owl,16545157
ore_ont_11270.owl,28758810
ore_ont_11274.owl,269790
ore_ont_11282.owl,5454877
ore_ont_11287.owl,24020291
ore_ont_11289.owl,1303599
ore_ont_11291.owl,48735
ore_ont_11293.owl,18020794
ore_ont_11296.owl,55494
ore_ont_11298.owl,882052
ore_ont_11305.owl,1475168
ore_ont_11311.owl,7564733
ore_ont_11315.owl,38027628
ore_ont_11316.owl,420226
ore_ont_11349.owl,707481
ore_ont_11357.owl,33180
ore_ont_11362.owl,399791
ore_ont_11371.owl,99267
ore_ont_11378.owl,2996720
ore_ont_11380.owl,39884
ore_ont_11389.owl,45510355
ore_ont_11392.owl,84074
ore_ont_11395.owl,173850448
ore_ont_11401.owl,70144
ore_ont_11411.owl,1802703
ore_ont_11416.owl,120276
ore_ont_11426.owl,5798955
ore_ont_11452.owl,1819011
ore_ont_11457.owl,15752442
ore_ont_11459.owl,24406358
ore_ont_11460.owl,41676585
ore_ont_11464.owl,41016719
ore_ont_11477.owl,246602
ore_ont_11484.owl,1105141
ore_ont_11495.owl,12322659
ore_ont_11497.owl,47901
ore_ont_11500.owl,8051389
ore_ont_11502.owl,2554091
ore_ont_11504.owl,117564
ore_ont_11519.owl,22959088
ore_ont_11522.owl,45649
ore_ont_11523.owl,50808
ore_ont_11526.owl,83347
ore_ont_11533.owl,71655
ore_ont_11536.owl,1845921
ore_ont_11553.owl,5512005
ore_ont_11554.owl,168239
ore_ont_11559.owl,15387518
ore_ont_11564.owl,1304102
ore_ont_11572.owl,328454
ore_ont_11577.owl,158383
ore_ont_11592.owl,72499
ore_ont_11597.owl,7591199
ore_ont_11600.owl,3297473
ore_ont_11619.owl,742525
ore_ont_11623.owl,1021329
ore_ont_11626.owl,1084340
ore_ont_11629.owl,3950348
ore_ont_11635.owl,833540
ore_ont_11636.owl,1299501
ore_ont_11639.owl,54307
ore_ont_11647.owl,423957
ore_ont_11675.owl,1587596
ore_ont_11676.owl,48310
ore_ont_11685.owl,698983
ore_ont_11694.owl,168692
ore_ont_11695.owl,6541417
ore_ont_11696.owl,1301308
ore_ont_11703.owl,714780
ore_ont_11719.owl,220746
ore_ont_1172.owl,116178
ore_ont_11739.owl,128520707
ore_ont_11745.owl,36153835
ore_ont_11778.owl,27828772
ore_ont_11792.owl,126641
ore_ont_11817.owl,13778525
ore_ont_1182.owl,34943573
ore_ont_11827.owl,23739397
ore_ont_11834.owl,32281
ore_ont_11866.owl,43661
ore_ont_11878.owl,2092695
ore_ont_11889.owl,134867
ore_ont_11895.owl,42547
ore_ont_11896.owl,2170570
ore_ont_11899.owl,38144058
ore_ont_11901.owl,50853
ore_ont_11906.owl,3898833
ore_ont_11910.owl,1061782
ore_ont_11929.owl,50871
ore_ont_1194.owl,78422379
ore_ont_11948.owl,1303599
ore_ont_11949.owl,11920
ore_ont_11972.owl,50853
ore_ont_11978.owl,116178
ore_ont_11989.owl,1324580
ore_ont_1199.owl,46905430
ore_ont_12000.owl,1162373
ore_ont_12007.owl,62736
ore_ont_12009.owl,261102
ore_ont_12012.owl,25098610
ore_ont_12039.owl,1351209
ore_ont_12043.owl,1450600
ore_ont_12061.owl,114757
ore_ont_12084.owl,205277
ore_ont_12087.owl,47033111
ore_ont_12097.owl,357834
ore_ont_12101.owl,35187
ore_ont_12107.owl,56080
ore_ont_1211.owl,323130
ore_ont_12112.owl,102221
ore_ont_12118.owl,42023
ore_ont_1212.owl,5433507
ore_ont_12128.owl,98372757
ore_ont_12141.owl,139854
ore_ont_12149.owl,6388383
ore_ont_12150.owl,57847
ore_ont_12152.owl,1398577
ore_ont_12161.owl,1809201
ore_ont_12174.owl,2249170
ore_ont_12182.owl,6352776
ore_ont_12191.owl,3006922
ore_ont_12194.owl,5783471
ore_ont_12203.owl,65085550
ore_ont_12208.owl,23748459
ore_ont_12219.owl,1451573
ore_ont_1222.owl,32585
ore_ont_12221.owl,4823050
ore_ont_12253.owl,96131
ore_ont_12269.owl,3152753
ore_ont_12270.owl,285243
ore_ont_12281.owl,461744
ore_ont_12284.owl,3452228
ore_ont_12317.owl,8140393
ore_ont_12323.owl,81600
ore_ont_12325.owl,749913
ore_ont_12330.owl,5191081
ore_ont_12342.owl,125868
ore_ont_12351.owl,108330646
ore_ont_12360.owl,26857
ore_ont_12369.owl,96379
ore_ont_12372.owl,325656
ore_ont_12379.owl,97267
ore_ont_12382.owl,123023
ore_ont_12387.owl,50592310
ore_ont_12397.owl,420935
ore_ont_12405.owl,1006750
ore_ont_12410.owl,2845918
ore_ont_12414.owl,20377067
ore_ont_12415.owl,88753
ore_ont_12418.owl,1322675
ore_ont_12432.owl,1348456
ore_ont_12433.owl,215020
ore_ont_12448.owl,14227810
ore_ont_12451.owl,1373820
ore_ont_12452.owl,5812808
ore_ont_12468.owl,1326782
ore_ont_12474.owl,1298306
ore_ont_12486.owl,5287775
ore_ont_12522.owl,16217371
ore_ont_12528.owl,50359462
ore_ont_12536.owl,1958170
ore_ont_12566.owl,110681
ore_ont_12567.owl,110787645
ore_ont_12584.owl,49038
ore_ont_12635.owl,994680
ore_ont_12651.owl,22866542
ore_ont_12653.owl,46250
ore_ont_12665.owl,1787680
ore_ont_12676.owl,3479274
ore_ont_12698.owl,4167485
ore_ont_1270.owl,17283678
ore_ont_1272.owl,13755215
ore_ont_12721.owl,123871
ore_ont_12723.owl,412959
ore_ont_12743.owl,35949061
ore_ont_12764.owl,223544
ore_ont_12776.owl,1813858
ore_ont_12792.owl,5458884
ore_ont_12801.owl,785324
ore_ont_12802.owl,4131647
ore_ont_12824.owl,75792
ore_ont_12831.owl,184324
ore_ont_12836.owl,1256628
ore_ont_12839.owl,5453881
ore_ont_12884.owl,1292152
ore_ont_12892.owl,335170
ore_ont_12898.owl,590824914
ore_ont_12901.owl,41302503
ore_ont_12906.owl,41202
ore_ont_12914.owl,619177
ore_ont_12916.owl,860504
ore_ont_12925.owl,283347
ore_ont_12931.owl,280090
ore_ont_12932.owl,183985
ore_ont_12936.owl,3844488
ore_ont_12948.owl,42170
ore_ont_12955.owl,244043
