Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
ore_ont_6461.owl,53,0,318,264,135,128,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0586,0.0491,0.0057,0.0117,0.008,0.0202,0.0043,0.0224,0.0101,0.034,0.0152,0.0141,0.0054,0.081,0.059199999999999996,0.0397,0.0269,0.0221,0.0202
ore_ont_8335.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2793,0.0666,0.0056,0.026,0.0262,0.023,0.0055,0.0245,0.0098,0.0336,0.0162,0.0122,0.0072,0.3038,0.07640000000000001,0.0392,0.0422,0.038400000000000004,0.023
ore_ont_2775.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2837,0.0634,0.0059,0.0283,0.0226,0.023,0.0045,0.0234,0.0101999999999999,0.0333,0.0139,0.0128,0.0062,0.3071,0.0735999999999999,0.039200000000000006,0.0422,0.0354,0.023
ore_ont_16827.owl,80,99,442,269,166,103,0,0,93,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0011,0.0494,0.0675,0.0156,0.0535,0.0356,0.0338,0.0125,0.0234999999999999,0.0089,0.0336,0.0186,0.0142,0.013600000000000001,0.0728999999999999,0.07640000000000001,0.049199999999999994,0.0721,0.0498,0.0338
ore_ont_14588.owl,26,47,298,237,122,105,10,16,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0012,0.0228,0.0443,0.0091,0.0288,,0.0285,0.005,0.0387,0.0083,0.0347,0.0204,,0.0062,0.0615,0.0526,0.043800000000000006,0.0492,,0.0285
ore_ont_1524.owl,106,100,435,321,117,200,4,6,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0015,0.0411,0.0528,0.0056,0.0292,0.0245,0.0255,0.006,0.0327,0.0083,0.0348,0.0214,0.0175,0.0075,0.0738,0.0611,0.0404,0.0506,0.042,0.0255
ore_ont_9462.owl,104,128,455,350,221,128,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0011,0.0605999999999999,0.05,0.0057,0.0204,0.017,0.0231,0.0054,0.0218,0.0081999999999999,0.0344,0.0186,0.0159,0.006500000000000001,0.08239999999999989,0.058199999999999905,0.0401,0.039,0.0329,0.0231
ore_ont_15421.owl,74,72,300,223,114,108,1,1,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.002,0.0373,,0.0084,0.0481,0.0388,0.0326,0.0049,0.0314,0.0078999999999999,0.0401,0.0209,0.0157,0.0069,0.0687,,0.048499999999999995,0.06899999999999999,0.0545,0.0326
ore_ont_7417.owl,117,63,479,328,168,135,25,12,23,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.0333,0.047,0.0081,0.0316,0.0264,0.0257,0.0046,0.034,0.0097,0.0383,0.0205,0.0165,0.0063,0.0673,0.0567,0.0464,0.05210000000000001,0.0429,0.0257
ore_ont_3936.owl,122,200,462,332,128,200,4,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0025,0.0386,,0.0062,0.0246,0.0205,0.0281,0.0054,0.0259,0.0094,0.0362,0.0195,0.016,0.0079,0.0645,,0.0424,0.0441,0.036500000000000005,0.0281
ore_ont_16723.owl,43,45,345,264,138,110,16,12,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0319,0.0411,0.0081,0.027,0.0225,0.0263,0.0043999999999999,0.0306,0.0077,0.0331,0.0183,0.0149,0.0057999999999999,0.0625,0.048799999999999996,0.0412,0.0453,0.0374,0.0263
ore_ont_13132.owl,64,98,591,477,146,302,29,20,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0058,0.1732,0.1133999999999999,0.011,0.4466,0.2588,0.0351,0.0061,0.0369,0.0085,0.0446,0.0199,0.0171,0.0119,0.2101,0.1218999999999999,0.0556,0.4665,0.2759,0.0351
ore_ont_13885.owl,36,14,488,397,141,189,67,4,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.0399,0.0636,0.0133,0.0364,0.0271,0.0323,0.0053,0.0397,0.011,0.0429,0.0231,0.0184,0.0084,0.0796,0.0746,0.0562,0.0595,0.0455,0.0323
ore_ont_16274.owl,99,115,485,369,126,230,13,6,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.0325,0.056,0.0067,0.0276,0.024,0.0275,0.005,0.0321,0.0093,0.0385,0.0244999999999999,0.0174,0.0067,0.06459999999999999,0.0653,0.0452,0.052099999999999896,0.0414,0.0275
ore_ont_3205.owl,59,60,362,287,167,119,1,14,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0022,0.0212,0.0382,0.005,0.0258,0.0222,0.0231,0.0057,0.0344,0.0078,0.0354,0.0211999999999999,0.0222,0.0079,0.0556,0.046,0.0404,0.0469999999999999,0.0444,0.0231
ore_ont_16267.owl,121,163,660,479,172,249,58,0,62,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0021,0.0599,0.0809,0.0131,0.0474,0.0378999999999999,0.0362,0.0066,0.0288,0.0093,0.0406,0.0215,0.0173,0.0087,0.0887,0.0902,0.0537,0.06889999999999999,0.0551999999999999,0.0362
ore_ont_16630.owl,30,152,374,290,98,183,8,16,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.2467,0.082,0.0101,0.0369,0.0364,,0.0087,0.0381,0.0088,0.0395999999999999,0.022,0.0161,0.0112,0.2848,0.0908,0.0496999999999999,0.0589,0.052500000000000005,
ore_ont_16814.owl,28,42,364,287,163,102,22,11,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0018,0.2354,0.0567,0.0116,0.1129,0.0891,0.0328,0.0043,0.0412,0.0083,0.0385,0.0173,0.0144,0.0060999999999999995,0.2766,0.065,0.0501,0.1302,0.1035,0.0328
ore_ont_16197.owl,65,58,315,227,109,118,0,6,18,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0009,0.0652,0.0424,0.0071,0.0299,0.0214,0.0296,0.0054,0.0318,0.0077,0.0363,0.0186999999999999,0.0159,0.0063,0.097,0.0501,0.0434,0.0485999999999999,0.0373,0.0296
ore_ont_12150.owl,127,131,445,291,140,132,19,0,28,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0016,0.0341,0.0631,0.0081999999999999,0.0272,0.0272,0.0267,0.0058,0.022,0.0087999999999999,0.0349,0.0183,0.0199,0.0073999999999999995,0.0561,0.07189999999999991,0.0430999999999999,0.0455,0.0471,0.0267
ore_ont_10894.owl,148,109,568,411,169,237,5,6,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0024,0.0519,0.0717,0.006,0.0434,0.0332,0.0287,0.0052999999999999,0.0347,0.0088,0.0377,0.0232,0.0214,0.0076999999999999,0.08660000000000001,0.0805,0.043699999999999996,0.06659999999999999,0.054599999999999996,0.0287
ore_ont_9928.owl,167,0,671,500,166,333,1,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.1298,0.1147999999999999,0.0059,0.0141,0.0103,0.0259,0.0072,0.0215,0.0112,0.0392,0.0174,0.0165,0.0103,0.1513,0.1259999999999999,0.0451,0.0315,0.0268,0.0259
ore_ont_7789.owl,49,122,538,437,130,290,17,17,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0019,0.0756,0.0654,0.0097,0.0385,0.0263,0.0363,0.0054,0.0365,0.0092,0.0453,0.0219,0.0187,0.0073,0.1121,0.0746,0.055,0.060399999999999995,0.045,0.0363
ore_ont_1988.owl,115,94,428,310,100,210,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0018,0.0457999999999999,0.0708,0.0056,0.0324,0.0267999999999999,0.0244,0.0058,0.0248,0.009,0.0366,0.0183,0.018,0.007599999999999999,0.0705999999999999,0.0798,0.0422,0.050699999999999995,0.044799999999999895,0.0244
ore_ont_3281.owl,127,83,563,420,189,219,12,6,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0029,0.0712,0.0621,0.0082,0.0476,0.0356,0.0347,0.0061,0.0425,0.0091,0.0443,0.0237,0.0229,0.009000000000000001,0.1137,0.0712,0.0525,0.0713,0.058499999999999996,0.0347
ore_ont_11004.owl,29,54,518,405,267,109,29,37,47,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.2563,0.0608,0.0107,0.0293,,0.0312,0.0075,0.0424,0.0079,0.0394,0.0221999999999999,,0.0089,0.29869999999999997,0.0687,0.0501,0.0514999999999999,,0.0312
ore_ont_10199.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0013,0.0663,0.0453,0.0231,0.0365,0.0325,0.0402,0.0065,0.0226,0.0079,0.0372,0.0179,0.0166,0.0078,0.08889999999999999,0.0532,0.06029999999999999,0.0544,0.049100000000000005,0.0402
ore_ont_7800.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0015,0.0717,0.0464,0.0217,0.0358,0.0264,0.0397,0.0089,0.0232,0.0075,0.036,0.0177,0.0175,0.0104,0.0949,0.053899999999999997,0.0577,0.0535,0.0439,0.0397
ore_ont_3053.owl,87,85,524,396,203,192,1,20,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0398,0.0064,0.0379,0.008,0.0406,0.0205,0.0194,,,,,,,0.0398
ore_ont_11203.owl,59,48,562,334,94,103,137,0,170,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0017,0.0741,0.062,0.0315,0.1216,0.1247,0.0524,0.006,0.0229,0.0093,0.0388,0.018,0.0191,0.0077,0.097,0.0713,0.0703,0.1396,0.1438,0.0524
ore_ont_14379.owl,80,45,465,342,200,140,2,23,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,0.0406,,0.0135,0.0636,,0.038,0.0051,0.0598,0.01,0.0437,0.0264,,0.0091,0.10039999999999999,,0.0572,0.09,,0.038
ore_ont_11533.owl,35,25,480,379,195,173,11,43,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.051,0.0713,0.0095,0.0322,,0.0318,,0.0371,0.0105,0.0436,0.0193,,,0.0881,0.0818,0.0531,0.051500000000000004,,0.0318
ore_ont_11592.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2236,0.062,0.0073,0.0283,,0.0303,0.0056,0.0351,0.009,0.0414,0.0218,,0.0073,0.2587,0.071,0.0487,0.0501,,0.0303
ore_ont_16670.owl,49,56,528,411,221,179,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0524,0.0655,0.0097,0.0342,0.0352,0.0298,,0.0392999999999999,0.01,0.04,0.0216999999999999,0.0195,,0.09169999999999989,0.0755,0.0497,0.0558999999999999,0.0547,0.0298
ore_ont_10580.owl,133,0,695,531,235,273,23,0,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0071,1.2544,0.1192,0.0092,0.0948,0.1585,0.0315,0.0055,0.0356,0.012,0.0435,0.0175999999999999,0.0169,0.0126,1.29,0.1312,0.0527,0.11239999999999989,0.1754,0.0315
ore_ont_6859.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2227,0.0583,0.0074,0.0316,,0.0306,0.0052,0.0339999999999999,0.0098,0.0433,0.0241,,0.0069,0.25669999999999993,0.0681,0.050699999999999995,0.0557,,0.0306
ore_ont_1866.owl,49,56,526,410,221,178,11,44,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0505,0.0647,0.0103,0.0342,0.0447,0.0297,,0.0424999999999999,0.01,0.0402,0.0234,0.0219,,0.0929999999999999,0.07469999999999999,0.0505,0.0576,0.06659999999999999,0.0297
ore_ont_15068.owl,213,166,590,377,211,166,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.001,0.0445,0.0332999999999999,0.0063,0.0282,0.0301,0.0305,0.0063999999999999,0.0248,0.0089,0.0349,0.0203999999999999,0.0196,0.0073999999999999,0.0693,0.0421999999999999,0.0412,0.0485999999999999,0.049699999999999994,0.0305
ore_ont_13129.owl,40,24,452,366,164,166,34,37,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,0.0651,0.0054,0.032,,0.023,,,0.0089,0.0418,0.0271,,,,0.07400000000000001,0.0472,0.0591,,0.023
ore_ont_4035.owl,131,0,752,619,235,382,2,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,0.1942,0.1326,0.006,0.4992,0.418,0.027,0.006,0.027,0.0113,0.0435,0.0188,0.0151,0.0106,0.2212,0.1439,0.049499999999999995,0.518,0.4331,0.027
